Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         500            0  4.64375e-15 -2.90093e-25  -0.00551818 
         500      1.89987      0.63815  0.000385021  -0.00551773 
         500      1.92384      0.64495  0.000393398  -0.00551773 
         500      1.94796     0.651733  0.000401855  -0.00551772 
         500      1.97224     0.658494  0.000410389  -0.00551772 
         500      1.99666     0.665234  0.000418996  -0.00551771 
         500      2.02124     0.671949  0.000427674   -0.0055177 
         500      2.04596     0.678636   0.00043642   -0.0055177 
         500      2.07084     0.685295  0.000445232  -0.00551769 
         500      2.09586     0.691922  0.000454105  -0.00551769 
         500      2.12104     0.698515  0.000463037  -0.00551768 
         500      2.14636     0.705073  0.000472024  -0.00551767 
         500      2.17184     0.711592  0.000481063  -0.00551767 
         500      2.19746     0.718071   0.00049015  -0.00551766 
         500      2.22324     0.724507  0.000499282  -0.00551766 
         500      2.24917     0.730898  0.000508456  -0.00551765 
         500      2.27524     0.737242  0.000517666  -0.00551765 
         500      2.30147     0.743537  0.000526909  -0.00551764 
         500      2.32785     0.749779  0.000536181  -0.00551764 
         500      2.35438     0.755968  0.000545478  -0.00551763 
         500      2.38105     0.762101  0.000554794  -0.00551763 
         500      2.40788     0.768176  0.000564126  -0.00551763 
         500      2.43486      0.77419  0.000573468  -0.00551762 
         500      2.46199     0.780142  0.000582816  -0.00551762 
         500      2.48927     0.786029  0.000592164  -0.00551762 
         500       2.5167     0.791849  0.000601506  -0.00551762 
         500      2.54428     0.797601  0.000610838  -0.00551761 
         500      2.57201     0.803282  0.000620155  -0.00551762 
         500      2.59989      0.80889   0.00062945  -0.00551762 
         500      2.62792     0.814424  0.000638719  -0.00551762 
         500       2.6561     0.819882  0.000647958  -0.00551763 
         500      2.68444     0.825262  0.000657161  -0.00551764 
         500      2.71292     0.830562  0.000666326  -0.00551766 
         500      2.74155     0.835781  0.000675448  -0.00551768 
         500      2.77033     0.840918  0.000684492   -0.0055177 
         500      2.79927     0.845969  0.000693519   -0.0055177 
         500      2.82835     0.850934  0.000702527  -0.00551769 
         500      2.85758     0.855812  0.000711493  -0.00551768 
         500      2.88697     0.860602  0.000720398  -0.00551767 
         500       2.9165     0.865302  0.000729224  -0.00551765 
         500      2.94618     0.869911  0.000737958  -0.00551763 
         500      2.97602     0.874429  0.000746583  -0.00551761 
         500        3.006     0.878854  0.000755084  -0.00551759 
         500      3.03614     0.883186  0.000763495  -0.00551755 
         500      3.06642     0.887424  0.000771851  -0.00551748 
         500      3.09686     0.891568  0.000780064  -0.00551744 
         500      3.12744     0.895616  0.000788151  -0.00551742 
         500      3.15818     0.899568  0.000796122  -0.00551741 
         500      3.18907     0.903424  0.000803984  -0.00551741 
         500      3.22011     0.907183  0.000811738   -0.0055174 
         500      3.25129     0.910847  0.000819384   -0.0055174 
         500      3.28263     0.914413  0.000826917   -0.0055174 
         500      3.31412     0.917884  0.000834333   -0.0055174 
         500      3.34576     0.921258  0.000841624  -0.00551739 
         500      3.37754     0.924536  0.000848785  -0.00551739 
         500      3.40948     0.927718   0.00085581  -0.00551738 
         500      3.44157     0.930806  0.000862692  -0.00551736 
         500      3.47381     0.933799  0.000869427  -0.00551735 
         500       3.5062     0.936698  0.000876011  -0.00551734 
         500      3.53874     0.939504  0.000882443  -0.00551732 
         500      3.57143     0.942218  0.000888721  -0.00551731 
         500      3.60427     0.944841  0.000894845   -0.0055173 
         500      3.63726     0.947373  0.000900816  -0.00551729 
         500       3.6704     0.949816  0.000906636  -0.00551729 
         500       3.7037     0.952171  0.000912306  -0.00551728 
         500      3.73714      0.95444   0.00091783  -0.00551728 
         500      3.77073     0.956623  0.000923208  -0.00551728 
         500      3.80447     0.958722  0.000928441  -0.00551727 
         500      3.83837     0.960738   0.00093353  -0.00551727 
         500      3.87241     0.962674  0.000938475  -0.00551726 
         500       3.9066      0.96453  0.000943273  -0.00551725 
         500      3.94095     0.966309  0.000947923  -0.00551724 
         500      3.97544     0.968011  0.000952423  -0.00551722 
         500      4.01008      0.96964  0.000956773   -0.0055172 
         500      4.04488     0.971196  0.000960974  -0.00551718 
         500      4.07982     0.972681  0.000965033  -0.00551716 
         500      4.11492     0.974098  0.000968966  -0.00551714 
         500      4.15016     0.975448  0.000972798  -0.00551712 
         500      4.18556     0.976733   0.00097657  -0.00551712 
         500       4.2211     0.977955  0.000980064  -0.00551712 
         500       4.2568     0.979116  0.000983332  -0.00551711 
         500      4.29265     0.980218  0.000986544   -0.0055171 
         500      4.32864     0.981263  0.000989672  -0.00551709 
         500      4.36479     0.982253  0.000992698  -0.00551708 
         500      4.40109     0.983189  0.000995611  -0.00551707 
         500      4.43754     0.984074  0.000998406  -0.00551705 
         500      4.47413     0.984909   0.00100108  -0.00551704 
         500      4.51088     0.985698   0.00100363  -0.00551702 
         500      4.54778      0.98644   0.00100607    -0.005517 
         500      4.58483     0.987139    0.0010084  -0.00551698 
         500      4.62203     0.987796   0.00101063  -0.00551696 
         500      4.65938     0.988413   0.00101275  -0.00551693 
