Variables = x, y, u, v, p

Zone, I=400, F=POINT
         500            0  4.68243e-15 -2.20016e-25  -0.00471467 
         500      15.4338     0.997164   0.00111472  -0.00470881 
         500      15.6048     0.997161   0.00111631   -0.0047087 
         500      15.7767     0.997158   0.00111796  -0.00470859 
         500      15.9496     0.997155   0.00111947  -0.00470849 
         500      16.1235     0.997155   0.00112073   -0.0047084 
         500      16.2982     0.997158   0.00112182  -0.00470832 
         500      16.4739     0.997162   0.00112299  -0.00470824 
         500      16.6506     0.997165   0.00112458  -0.00470818 
         500      16.8282     0.997162   0.00112647  -0.00470812 
         500      17.0068     0.997156   0.00112709  -0.00470805 
         500      17.1862      0.99715   0.00112819  -0.00470806 
         500      17.3667     0.997153   0.00113106    -0.004708 
         500      17.5481     0.997163   0.00113365   -0.0047078 
         500      17.7304      0.99716   0.00113438  -0.00470768 
         500      17.9136     0.997162   0.00113429  -0.00470776 
         500      18.0979     0.997175    0.0011374  -0.00470759 
         500       18.283     0.997171   0.00113922  -0.00470734 
         500      18.4691     0.997163   0.00114049   -0.0047071 
         500      18.6561     0.997159   0.00114163  -0.00470692 
         500      18.8441     0.997159   0.00114284  -0.00470683 
         500       19.033     0.997159   0.00114417  -0.00470686 
         500      19.2228     0.997158   0.00114557    -0.004707 
         500      19.4136     0.997155   0.00114692  -0.00470726 
         500      19.6054     0.997154   0.00114938   -0.0047069 
         500       19.798     0.997158     0.001152  -0.00470635 
         500      19.9917     0.997162   0.00115397  -0.00470598 
         500      20.1862     0.997166    0.0011554  -0.00470572 
         500      20.3818     0.997167   0.00115648  -0.00470553 
         500      20.5782     0.997167   0.00115746  -0.00470537 
         500      20.7756     0.997166   0.00115855  -0.00470523 
         500       20.974     0.997165   0.00115994  -0.00470511 
         500      21.1732     0.997164   0.00116169  -0.00470499 
         500      21.3734     0.997164   0.00116376   -0.0047049 
         500      21.5745     0.997165   0.00116596  -0.00470482 
         500      21.7767     0.997165   0.00116802  -0.00470476 
         500      21.9797     0.997164   0.00116965  -0.00470472 
         500      22.1837     0.997159   0.00117076  -0.00470468 
         500      22.3886     0.997155   0.00117174  -0.00470462 
         500      22.5945     0.997159   0.00117386  -0.00470451 
         500      22.8013     0.997181   0.00117841  -0.00470439 
         500      23.0091     0.997171   0.00117783  -0.00470454 
         500      23.2177      0.99717   0.00118073  -0.00470436 
         500      23.4274      0.99717   0.00118352  -0.00470412 
         500       23.638     0.997169   0.00118524  -0.00470389 
         500      23.8495     0.997165   0.00118618  -0.00470368 
         500       24.062     0.997161   0.00118704  -0.00470352 
         500      24.2754      0.99716   0.00118843  -0.00470347 
         500      24.4897     0.997168   0.00119065  -0.00470369 
         500       24.705     0.997183   0.00119357  -0.00470429 
         500      24.9213     0.997176   0.00119518  -0.00470384 
         500      25.1385     0.997173   0.00119721  -0.00470353 
         500      25.3566     0.997171   0.00119925  -0.00470333 
         500      25.5756     0.997167   0.00120101  -0.00470327 
         500      25.7957     0.997161   0.00120229  -0.00470334 
         500      26.0166     0.997158   0.00120323  -0.00470348 
         500      26.2385     0.997161   0.00120441  -0.00470357 
         500      26.4613      0.99717    0.0012066   -0.0047035 
         500      26.6851     0.997182   0.00120975   -0.0047033 
         500      26.9098     0.997181   0.00121067  -0.00470332 
         500      27.1354     0.997166    0.0012121  -0.00470343 
         500      27.3621     0.997167    0.0012155  -0.00470328 
         500      27.5896     0.997171   0.00121644  -0.00470337 
         500      27.8181     0.997176   0.00121744  -0.00470357 
         500      28.0475     0.997179   0.00121923  -0.00470381 
         500      28.2779     0.997178    0.0012217  -0.00470402 
         500      28.5092     0.997173   0.00122448  -0.00470408 
         500      28.7414     0.997169   0.00122709  -0.00470382 
         500      28.9746     0.997179   0.00122894  -0.00470292 
         500      29.2088     0.997172   0.00123152  -0.00470232 
         500      29.4439     0.997168    0.0012331  -0.00470226 
         500      29.6799     0.997172   0.00123384  -0.00470232 
         500      29.9168     0.997176    0.0012347   -0.0047024 
         500      30.1548     0.997177   0.00123631  -0.00470245 
         500      30.3936     0.997174   0.00123886  -0.00470246 
         500      30.6334      0.99717   0.00124207  -0.00470242 
         500      30.8742     0.997169   0.00124538  -0.00470236 
         500      31.1158     0.997172    0.0012481   -0.0047023 
         500      31.3584      0.99718   0.00124979  -0.00470226 
         500       31.602      0.99719   0.00125049  -0.00470225 
         500      31.8465     0.997197   0.00125092  -0.00470227 
         500      32.0919     0.997194   0.00125228  -0.00470232 
         500      32.3383     0.997176    0.0012557  -0.00470238 
         500      32.5856      0.99715   0.00126086  -0.00470246 
         500       32.834     0.997139    0.0012636  -0.00470262 
         500      33.0831     0.997197   0.00125691  -0.00470289 
         500      33.3333     0.997209   0.00126791  -0.00470271 
         500      33.5843     0.997207   0.00126904  -0.00470279 
         500      33.8364     0.997196   0.00126822  -0.00470292 
         500      34.0894     0.997183   0.00126882  -0.00470303 
         500      34.3433     0.997173   0.00127152  -0.00470308 
         500      34.5981     0.997167    0.0012756  -0.00470308 
         500       34.854     0.997166   0.00127994  -0.00470306 
         500      35.1107     0.997171   0.00128354  -0.00470302 
         500      35.3684     0.997179   0.00128583  -0.00470299 
         500      35.6271     0.997188   0.00128681  -0.00470295 
         500      35.8867     0.997196   0.00128688  -0.00470289 
         500      36.1472       0.9972   0.00128675  -0.00470282 
         500      36.4086       0.9972   0.00128714  -0.00470273 
         500      36.6711     0.997197   0.00128861  -0.00470264 
         500      36.9344     0.997191    0.0012914   -0.0047026 
         500      37.1987     0.997185   0.00129528  -0.00470266 
         500      37.4639     0.997181   0.00129967  -0.00470287 
         500      37.7301      0.99718   0.00130371  -0.00470324 
         500      37.9972     0.997183   0.00130667   -0.0047037 
         500      38.2652     0.997189    0.0013083  -0.00470401 
         500      38.5342     0.997197   0.00130945  -0.00470369 
         500      38.8042     0.997208   0.00131273  -0.00470186 
         500      39.0751     0.997193    0.0013124  -0.00470192 
         500      39.3469     0.997178   0.00131001  -0.00470271 
         500      39.6197     0.997156   0.00131338  -0.00470386 
         500      39.8934     0.997113   0.00132766  -0.00470568 
         500       40.168     0.997204   0.00131316  -0.00470484 
         500      40.4436     0.997205   0.00131441  -0.00470323 
         500      40.7202     0.997186   0.00132685  -0.00470186 
         500      40.9977      0.99717   0.00133571  -0.00470183 
         500      41.2761     0.997158   0.00133366   -0.0047018 
         500      41.5554     0.997164   0.00133333  -0.00470144 
         500      41.8358     0.997176   0.00133431  -0.00470108 
         500       42.117     0.997189   0.00133638  -0.00470087 
         500      42.3992     0.997197   0.00133933  -0.00470083 
         500      42.6823     0.997201   0.00134286  -0.00470092 
