Variables = x, y, u, v, p

Zone, I=400, F=POINT
          50            0  2.61656e-18 -4.70832e-30  -0.00741999 
          50      24.2754     0.999854   0.00146749   -0.0073873 
          50      24.4897     0.999854   0.00146819  -0.00738706 
          50       24.705     0.999855   0.00146904  -0.00738681 
          50      24.9213     0.999856   0.00146997  -0.00738657 
          50      25.1385     0.999857   0.00147086  -0.00738632 
          50      25.3566     0.999857   0.00147156  -0.00738606 
          50      25.5756     0.999858   0.00147196  -0.00738581 
          50      25.7957     0.999858   0.00147209  -0.00738558 
          50      26.0166     0.999857   0.00147231  -0.00738538 
          50      26.2385     0.999858    0.0014736  -0.00738527 
          50      26.4613     0.999858     0.001474  -0.00738497 
          50      26.6851     0.999859   0.00147454  -0.00738464 
          50      26.9098      0.99986   0.00147562  -0.00738439 
          50      27.1354     0.999861   0.00147655  -0.00738417 
          50      27.3621      0.99986   0.00147712  -0.00738397 
          50      27.5896     0.999858    0.0014774  -0.00738378 
          50      27.8181     0.999856   0.00147755  -0.00738358 
          50      28.0475     0.999855   0.00147779  -0.00738335 
          50      28.2779     0.999854   0.00147828  -0.00738309 
          50      28.5092     0.999854   0.00147911  -0.00738276 
          50      28.7414     0.999857   0.00148038  -0.00738232 
          50      28.9746     0.999861    0.0014818  -0.00738184 
          50      29.2088     0.999859   0.00148222  -0.00738172 
          50      29.4439     0.999858   0.00148278  -0.00738151 
          50      29.6799     0.999857   0.00148332  -0.00738126 
          50      29.9168     0.999856   0.00148381  -0.00738098 
          50      30.1548     0.999855    0.0014843  -0.00738068 
          50      30.3936     0.999855   0.00148483  -0.00738038 
          50      30.6334     0.999856   0.00148545   -0.0073801 
          50      30.8742     0.999857   0.00148617  -0.00737983 
          50      31.1158     0.999858   0.00148692   -0.0073796 
          50      31.3584     0.999859   0.00148765  -0.00737939 
          50       31.602     0.999858   0.00148828   -0.0073792 
          50      31.8465     0.999856   0.00148883  -0.00737899 
          50      32.0919     0.999857   0.00148949  -0.00737871 
          50      32.3383     0.999855   0.00149033  -0.00737856 
          50      32.5856     0.999855   0.00149101   -0.0073784 
          50       32.834     0.999857   0.00149163  -0.00737814 
          50      33.0831     0.999859   0.00149225  -0.00737784 
          50      33.3333      0.99986   0.00149289  -0.00737754 
          50      33.5843      0.99986   0.00149358  -0.00737726 
          50      33.8364      0.99986   0.00149432    -0.007377 
          50      34.0894     0.999859    0.0014951  -0.00737677 
          50      34.3433     0.999858   0.00149592  -0.00737656 
          50      34.5981     0.999858   0.00149674  -0.00737636 
          50       34.854     0.999859   0.00149754  -0.00737616 
          50      35.1107      0.99986   0.00149831  -0.00737597 
          50      35.3684     0.999861   0.00149902  -0.00737578 
          50      35.6271     0.999861   0.00149968  -0.00737559 
          50      35.8867     0.999861   0.00150028   -0.0073754 
          50      36.1472      0.99986   0.00150085   -0.0073752 
          50      36.4086     0.999859    0.0015014  -0.00737501 
          50      36.6711     0.999858   0.00150196  -0.00737482 
          50      36.9344     0.999857   0.00150256  -0.00737463 
          50      37.1987     0.999857   0.00150323  -0.00737443 
          50      37.4639     0.999857     0.001504   -0.0073742 
          50      37.7301     0.999857   0.00150514  -0.00737383 
          50      37.9972     0.999859   0.00150647   -0.0073735 
          50      38.2652     0.999862    0.0015075  -0.00737328 
          50      38.5342     0.999864   0.00150783  -0.00737314 
          50      38.8042     0.999863   0.00150748    -0.007373 
          50      39.0751     0.999861   0.00150782   -0.0073727 
          50      39.3469     0.999866   0.00151282  -0.00737207 
          50      39.6197     0.999856   0.00150959   -0.0073721 
          50      39.8934     0.999855    0.0015092  -0.00737217 
          50       40.168     0.999858   0.00151092   -0.0073721 
          50      40.4436     0.999862   0.00151377  -0.00737177 
          50      40.7202     0.999863   0.00151534  -0.00737126 
          50      40.9977     0.999861   0.00151521  -0.00737098 
