Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         -30            0  3.60992e-16 -1.75494e-28  -0.00931558 
         -30      1.47294     0.783122  0.000892197  -0.00931341 
         -30      1.49406     0.790675  0.000910744  -0.00931336 
         -30      1.51533     0.798118  0.000929279   -0.0093133 
         -30      1.53674     0.805445  0.000947784  -0.00931325 
         -30      1.55831     0.812654  0.000966244  -0.00931319 
         -30      1.58003      0.81974  0.000984642  -0.00931313 
         -30       1.6019     0.826699   0.00100296  -0.00931308 
         -30      1.62392     0.833529   0.00102118  -0.00931302 
         -30      1.64609     0.840225   0.00103929  -0.00931295 
         -30      1.66841     0.846783   0.00105727  -0.00931289 
         -30      1.69088     0.853202   0.00107511  -0.00931283 
         -30       1.7135     0.859478   0.00109278  -0.00931276 
         -30      1.73627     0.865609   0.00111027   -0.0093127 
         -30      1.75919     0.871592   0.00112756  -0.00931263 
         -30      1.78226     0.877424   0.00114465  -0.00931256 
         -30      1.80548     0.883104    0.0011615  -0.00931249 
         -30      1.82885     0.888631   0.00117811  -0.00931242 
         -30      1.85237     0.894002   0.00119447  -0.00931234 
         -30      1.87605     0.899217   0.00121055  -0.00931227 
         -30      1.89987     0.904274   0.00122635   -0.0093122 
         -30      1.92384     0.909173   0.00124184  -0.00931212 
         -30      1.94796     0.913914   0.00125703  -0.00931204 
         -30      1.97224     0.918495   0.00127189  -0.00931196 
         -30      1.99666     0.922919   0.00128642  -0.00931188 
         -30      2.02124     0.927184    0.0013006   -0.0093118 
         -30      2.04596     0.931292   0.00131443  -0.00931172 
         -30      2.07084     0.935243    0.0013279  -0.00931163 
         -30      2.09586     0.939039   0.00134099  -0.00931155 
         -30      2.12104     0.942681   0.00135372  -0.00931146 
         -30      2.14636     0.946172   0.00136605  -0.00931137 
         -30      2.17184     0.949512   0.00137801  -0.00931129 
         -30      2.19746     0.952704   0.00138957   -0.0093112 
         -30      2.22324     0.955751   0.00140074  -0.00931111 
         -30      2.24917     0.958655   0.00141151  -0.00931101 
         -30      2.27524     0.961419   0.00142189  -0.00931092 
         -30      2.30147     0.964046   0.00143188  -0.00931083 
         -30      2.32785     0.966539   0.00144147  -0.00931073 
         -30      2.35438     0.968902   0.00145066  -0.00931064 
         -30      2.38105     0.971137   0.00145947  -0.00931054 
         -30      2.40788      0.97325   0.00146789  -0.00931044 
         -30      2.43486     0.975243   0.00147593  -0.00931034 
         -30      2.46199     0.977121    0.0014836  -0.00931024 
         -30      2.48927     0.978887    0.0014909  -0.00931014 
         -30       2.5167     0.980545   0.00149783  -0.00931004 
         -30      2.54428       0.9821   0.00150441  -0.00930994 
         -30      2.57201     0.983555   0.00151064  -0.00930984 
         -30      2.59989     0.984915   0.00151653  -0.00930973 
         -30      2.62792     0.986184   0.00152209  -0.00930963 
         -30       2.6561     0.987365   0.00152734  -0.00930952 
         -30      2.68444     0.988463   0.00153228  -0.00930942 
         -30      2.71292     0.989483   0.00153692  -0.00930931 
         -30      2.74155     0.990428   0.00154129   -0.0093092 
         -30      2.77033     0.991301   0.00154537  -0.00930909 
         -30      2.79927     0.992108   0.00154918  -0.00930898 
         -30      2.82835     0.992851   0.00155274  -0.00930887 
         -30      2.85758     0.993535   0.00155607  -0.00930876 
         -30      2.88697     0.994162   0.00155916  -0.00930864 
         -30       2.9165     0.994738   0.00156204  -0.00930853 
         -30      2.94618     0.995264    0.0015647  -0.00930841 
         -30      2.97602     0.995744   0.00156718   -0.0093083 
         -30        3.006     0.996182   0.00156946  -0.00930818 
         -30      3.03614      0.99658   0.00157157  -0.00930806 
         -30      3.06642     0.996941   0.00157352  -0.00930795 
         -30      3.09686     0.997268   0.00157531  -0.00930783 
         -30      3.12744     0.997563   0.00157696  -0.00930771 
