Variables = x, y, u, v, p

Zone, I=800, F=POINT
          20            0  3.26216e-18 -3.57213e-26   0.00180924 
          20      8.39303     0.998899   0.00141453  0.000865485 
          20      8.48211     0.998908    0.0014121  0.000856411 
          20      8.57159     0.998918   0.00140977  0.000847423 
          20      8.66161     0.998927   0.00140751  0.000838506 
          20      8.75203     0.998936   0.00140534  0.000829674 
          20      8.84299     0.998945   0.00140324  0.000820913 
          20      8.93443     0.998954   0.00140121  0.000812228 
          20      9.02626     0.998963   0.00139925  0.000803628 
          20      9.11863     0.998972   0.00139736  0.000795099 
          20      9.21139     0.998981   0.00139554  0.000786656 
          20      9.30471     0.998989    0.0013938  0.000778287 
          20      9.39841     0.998998   0.00139213  0.000770005 
          20      9.49267     0.999006   0.00139052  0.000761796 
          20      9.58739     0.999015   0.00138896  0.000753664 
          20      9.68251     0.999023   0.00138747  0.000745616 
          20      9.77817     0.999032   0.00138605  0.000737636 
          20      9.87422      0.99904   0.00138465  0.000729747 
          20      9.97083     0.999048   0.00138327  0.000721926 
          20      10.0678     0.999056   0.00138204  0.000714182 
          20      10.1654     0.999064   0.00138083  0.000706511 
          20      10.2633     0.999072   0.00137968   0.00069893 
          20      10.3618      0.99908   0.00137859  0.000691419 
          20      10.4607     0.999088   0.00137753  0.000683979 
          20      10.5601     0.999096    0.0013765  0.000676614 
          20        10.66     0.999103    0.0013755  0.000669313 
          20      10.7603     0.999111   0.00137457  0.000662096 
          20      10.8611     0.999118    0.0013737  0.000654951 
          20      10.9623     0.999126   0.00137288  0.000647884 
          20      11.0641     0.999133   0.00137209  0.000640885 
          20      11.1663     0.999141   0.00137135  0.000633958 
          20       11.269     0.999148   0.00137064  0.000627111 
          20      11.3721     0.999155   0.00136996   0.00062033 
          20      11.4757     0.999162   0.00136932  0.000613628 
          20      11.5798     0.999169    0.0013687  0.000606991 
          20      11.6844     0.999176   0.00136811  0.000600429 
          20      11.7894     0.999183   0.00136757   0.00059393 
          20       11.895      0.99919   0.00136706  0.000587498 
          20      12.0009     0.999196    0.0013666  0.000581138 
          20      12.1073     0.999203   0.00136617  0.000574838 
          20      12.2142      0.99921   0.00136576  0.000568609 
          20      12.3216     0.999216   0.00136537  0.000562442 
          20      12.4294     0.999223   0.00136504  0.000556347 
          20      12.5378     0.999229    0.0013647  0.000550315 
          20      12.6465     0.999236   0.00136441  0.000544352 
          20      12.7558     0.999242   0.00136415  0.000538448 
          20      12.8656     0.999248   0.00136391  0.000532608 
          20      12.9757     0.999254   0.00136367  0.000526837 
          20      13.0864      0.99926   0.00136346  0.000521125 
          20      13.1975     0.999266   0.00136327   0.00051548 
          20      13.3092     0.999272   0.00136312  0.000509893 
          20      13.4212     0.999278   0.00136298  0.000504369 
          20      13.5338     0.999284   0.00136288  0.000498896 
          20      13.6468      0.99929   0.00136282  0.000493472 
          20      13.7603     0.999296   0.00136272  0.000488136 
          20      13.8743     0.999301   0.00136266  0.000482849 
          20      13.9886     0.999307   0.00136263  0.000477618 
          20      14.1036     0.999313   0.00136262  0.000472438 
          20      14.2189     0.999318   0.00136262  0.000467319 
          20      14.3348     0.999324   0.00136264  0.000462252 
          20       14.451     0.999329   0.00136267  0.000457246 
          20      14.5678     0.999334   0.00136271  0.000452293 
          20      14.6851      0.99934   0.00136277  0.000447398 
          20      14.8028     0.999345   0.00136286  0.000442561 
          20       14.921      0.99935   0.00136295  0.000437774 
          20      15.0396     0.999356   0.00136305  0.000433039 
          20      15.1588     0.999361   0.00136318  0.000428348 
          20      15.2783     0.999366    0.0013633  0.000423711 
          20      15.3984     0.999371   0.00136344  0.000419123 
          20       15.519     0.999376   0.00136359  0.000414588 
          20        15.64     0.999381   0.00136377  0.000410103 
          20      15.7615     0.999385   0.00136395  0.000405677 
          20      15.8834      0.99939   0.00136414    0.0004013 
          20      16.0058     0.999395   0.00136434   0.00039696 
          20      16.1286       0.9994   0.00136454   0.00039267 
          20       16.252     0.999405   0.00136476  0.000388423 
          20      16.3759     0.999409   0.00136499  0.000384225 
